District,Zone,Variety_Code,Year,Season,Cultivated_Extent_Ha,Age_Group,Grain_Type,Grain_Color,Salinity_Prone,Iron_Toxicity_Prone,Temperature,Humidity,Soil_Moisture
Kalutara,Wet Zone,Bw 364,2021,Annual,364,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.425753424657533,84.83287671232877,0.4475452054794521
Kalutara,Wet Zone,Bg 300,2023,Annual,3738,3 Months,Long Grain (Nadu),White,No,No,26.23945205479452,85.6054794520548,0.4423945205479452
Kalutara,Wet Zone,Bw 367,2023,Annual,3617,3.5 Months,Short Grain (Samba),White,No,Yes,26.23945205479452,85.6054794520548,0.4423945205479452
Kalutara,Wet Zone,Bw 372,2023,Annual,3281,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.23945205479452,85.6054794520548,0.4423945205479452
Kalutara,Wet Zone,Ld 368,2023,Annual,1406,3.5 Months,Short Grain (Samba),Red,No,No,26.23945205479452,85.6054794520548,0.4423945205479452
Kalutara,Wet Zone,Bw 312,2023,Annual,939,3 Months,Long Grain (Nadu),Red,No,Yes,26.23945205479452,85.6054794520548,0.4423945205479452
Kalutara,Wet Zone,Bw 364,2023,Annual,307,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.23945205479452,85.6054794520548,0.4423945205479452
Galle,Wet Zone,At 362,2021,Annual,10396,3.5 Months,Long Grain (Nadu),Red,No,No,26.34054794520548,84.95068493150686,0.4527260273972603
Galle,Wet Zone,Ld 368,2021,Annual,3531,3.5 Months,Short Grain (Samba),Red,No,No,26.34054794520548,84.95068493150686,0.4527260273972603
Galle,Wet Zone,Bw 372,2021,Annual,3190,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.34054794520548,84.95068493150686,0.4527260273972603
Galle,Wet Zone,At 362,2023,Annual,7893,3.5 Months,Long Grain (Nadu),Red,No,No,26.144657534246573,85.64657534246575,0.35815890410958906
Galle,Wet Zone,Bw 372,2023,Annual,3312,3.5 Months,Long Grain (Nadu),Red,No,Yes,26.144657534246573,85.64657534246575,0.35815890410958906
Galle,Wet Zone,Ld 368,2023,Annual,2564,3.5 Months,Short Grain (Samba),Red,No,No,26.144657534246573,85.64657534246575,0.35815890410958906
Matara,Wet Zone,At 362,2021,Annual,16331,3.5 Months,Long Grain (Nadu),Red,No,No,26.33808219178082,85.27945205479452,0.42680547945205477
Matara,Wet Zone,Bg 366,2021,Annual,5739,3.5 Months,Long Grain (Nadu),White,No,No,26.33808219178082,85.27945205479452,0.42680547945205477
Matara,Wet Zone,Bg 379-2,2021,Annual,1989,4-4.5 Months,Long Grain (Nadu),White,No,No,26.33808219178082,85.27945205479452,0.42680547945205477
Matara,Wet Zone,At 362,2023,Annual,16822,3.5 Months,Long Grain (Nadu),Red,No,No,26.292602739726025,84.96164383561644,0.42043013698630133
Matara,Wet Zone,Bg 366,2023,Annual,5473,3.5 Months,Long Grain (Nadu),White,No,No,26.292602739726025,84.96164383561644,0.42043013698630133
Matara,Wet Zone,Bg 379-2,2023,Annual,1443,4-4.5 Months,Long Grain (Nadu),White,No,No,26.292602739726025,84.96164383561644,0.42043013698630133
Hambantota,Dry Zone,At 362,2021,Annual,50471,3.5 Months,Long Grain (Nadu),Red,No,No,27.40986301369863,76.62739726027397,0.11734246575342465
Hambantota,Dry Zone,Bg 352,2021,Annual,519,3.5 Months,Long Grain (Nadu),White,No,No,27.40986301369863,76.62739726027397,0.11734246575342465
Hambantota,Dry Zone,At 362,2023,Annual,41596,3.5 Months,Long Grain (Nadu),Red,No,No,27.281643835616435,77.7041095890411,0.15532602739726029
Hambantota,Dry Zone,At 303,2023,Annual,1801,3 Months,Long Grain (Nadu),Red,No,No,27.281643835616435,77.7041095890411,0.15532602739726029
Hambantota,Dry Zone,At 354,2023,Annual,218,3.5 Months,Long Grain (Nadu),White,Yes,No,27.281643835616435,77.7041095890411,0.15532602739726029
Killinochchi,Dry Zone,Bg 300,2021,Annual,11578,3 Months,Long Grain (Nadu),White,No,No,27.533150684931506,76.76164383561644,0.24574794520547943
Killinochchi,Dry Zone,Attakkari,2021,Annual,7118,4-4.5 Months,Long Grain (Nadu),Red,No,No,27.533150684931506,76.76164383561644,0.24574794520547943
Killinochchi,Dry Zone,At 362,2021,Annual,4978,3.5 Months,Long Grain (Nadu),Red,No,No,27.533150684931506,76.76164383561644,0.24574794520547943
Killinochchi,Dry Zone,At 353,2021,Annual,1019,3.5 Months,Long Grain (Nadu),Red,Yes,No,27.533150684931506,76.76164383561644,0.24574794520547943
Killinochchi,Dry Zone,Bg 300,2023,Annual,8851,3 Months,Long Grain (Nadu),White,No,No,27.821095890410962,75.64931506849315,0.24187671232876712
Killinochchi,Dry Zone,Attakkari,2023,Annual,6692,4-4.5 Months,Long Grain (Nadu),Red,No,No,27.821095890410962,75.64931506849315,0.24187671232876712
Killinochchi,Dry Zone,At 362,2023,Annual,3946,3.5 Months,Long Grain (Nadu),Red,No,No,27.821095890410962,75.64931506849315,0.24187671232876712
Killinochchi,Dry Zone,At 353,2023,Annual,99,3.5 Months,Long Grain (Nadu),Red,Yes,No,27.821095890410962,75.64931506849315,0.24187671232876712
Trincomalee,Dry Zone,Bg 360,2021,Annual,10752,3.5 Months,Short Grain (Samba),White,No,No,27.565479452054795,76.64931506849315,0.26865753424657535
Trincomalee,Dry Zone,Bg 366,2021,Annual,9213,3.5 Months,Long Grain (Nadu),White,No,No,27.565479452054795,76.64931506849315,0.26865753424657535
Trincomalee,Dry Zone,Bw 367,2021,Annual,6769,3.5 Months,Short Grain (Samba),White,No,Yes,27.565479452054795,76.64931506849315,0.26865753424657535
Trincomalee,Dry Zone,Bg 366,2023,Annual,18841,3.5 Months,Long Grain (Nadu),White,No,No,27.64876712328767,76.72054794520548,0.30766027397260276
Trincomalee,Dry Zone,Bg 352,2023,Annual,12163,3.5 Months,Long Grain (Nadu),White,No,No,27.64876712328767,76.72054794520548,0.30766027397260276
Trincomalee,Dry Zone,Bg 360,2023,Annual,7564,3.5 Months,Short Grain (Samba),White,No,No,27.64876712328767,76.72054794520548,0.30766027397260276
Trincomalee,Dry Zone,At 354,2023,Annual,338,3.5 Months,Long Grain (Nadu),White,Yes,No,27.64876712328767,76.72054794520548,0.30766027397260276
Batticaloa,Dry Zone,Bg 366,2021,Annual,16564,3.5 Months,Long Grain (Nadu),White,No,No,27.561917808219178,79.0027397260274,0.1407041095890411
Batticaloa,Dry Zone,Bg 357,2021,Annual,11790,3.5 Months,Long Grain (Nadu),White,No,No,27.561917808219178,79.0027397260274,0.1407041095890411
Batticaloa,Dry Zone,At 307,2021,Annual,10563,3 Months,Long Grain (Nadu),White,No,No,27.561917808219178,79.0027397260274,0.1407041095890411
Batticaloa,Dry Zone,At 353,2021,Annual,2026,3.5 Months,Long Grain (Nadu),Red,Yes,No,27.561917808219178,79.0027397260274,0.1407041095890411
Batticaloa,Dry Zone,Bg 366,2023,Annual,15890,3.5 Months,Long Grain (Nadu),White,No,No,27.445753424657536,80.40821917808219,0.18803013698630136
Batticaloa,Dry Zone,At 362,2023,Annual,10706,3.5 Months,Long Grain (Nadu),Red,No,No,27.445753424657536,80.40821917808219,0.18803013698630136
Batticaloa,Dry Zone,At 307,2023,Annual,9372,3 Months,Long Grain (Nadu),White,No,No,27.445753424657536,80.40821917808219,0.18803013698630136
Monaragala,Intermediate Zone,Bg 352,2021,Annual,17998,3.5 Months,Long Grain (Nadu),White,No,No,26.33780821917808,78.06027397260274,0.22795616438356167
Monaragala,Intermediate Zone,At 362,2021,Annual,13064,3.5 Months,Long Grain (Nadu),Red,No,No,26.33780821917808,78.06027397260274,0.22795616438356167
Monaragala,Intermediate Zone,Bg 360,2021,Annual,3540,3.5 Months,Short Grain (Samba),White,No,No,26.33780821917808,78.06027397260274,0.22795616438356167
Monaragala,Intermediate Zone,Bw 400,2021,Annual,22,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes,26.33780821917808,78.06027397260274,0.22795616438356167
Monaragala,Intermediate Zone,At 362,2023,Annual,16650,3.5 Months,Long Grain (Nadu),Red,No,No,26.303835616438356,78.36986301369863,0.24363835616438356
Monaragala,Intermediate Zone,Bg 352,2023,Annual,11138,3.5 Months,Long Grain (Nadu),White,No,No,26.303835616438356,78.36986301369863,0.24363835616438356
Monaragala,Intermediate Zone,At 307,2023,Annual,6123,3 Months,Long Grain (Nadu),White,No,No,26.303835616438356,78.36986301369863,0.24363835616438356
Monaragala,Intermediate Zone,Bw 400,2023,Annual,66,4-4.5 Months,Long Grain (Nadu),Red,Yes,Yes,26.303835616438356,78.36986301369863,0.24363835616438356
Badulla,Intermediate Zone,Bg 352,2021,Annual,6135,3.5 Months,Long Grain (Nadu),White,No,No,22.824383561643835,80.83287671232877,0.3942684931506849
Badulla,Intermediate Zone,At 362,2021,Annual,4164,3.5 Months,Long Grain (Nadu),Red,No,No,22.824383561643835,80.83287671232877,0.3942684931506849
Badulla,Intermediate Zone,Bw 367,2021,Annual,1227,3.5 Months,Short Grain (Samba),White,No,Yes,22.824383561643835,80.83287671232877,0.3942684931506849
Badulla,Intermediate Zone,Bg 366,2023,Annual,6380,3.5 Months,Long Grain (Nadu),White,No,No,23.174246575342465,81.02739726027397,0.4042904109589041
Badulla,Intermediate Zone,Bg 352,2023,Annual,6250,3.5 Months,Long Grain (Nadu),White,No,No,23.174246575342465,81.02739726027397,0.4042904109589041
Badulla,Intermediate Zone,At 362,2023,Annual,4837,3.5 Months,Long Grain (Nadu),Red,No,No,23.174246575342465,81.02739726027397,0.4042904109589041
Matale,Intermediate Zone,Bg 352,2021,Annual,5981,3.5 Months,Long Grain (Nadu),White,No,No,24.393424657534247,86.68493150684931,0.442345205479452
Matale,Intermediate Zone,Bg 374,2021,Annual,3922,3.5 Months,Long Grain (Nadu),White,No,No,24.393424657534247,86.68493150684931,0.442345205479452
Matale,Intermediate Zone,Bw 367,2021,Annual,3121,3.5 Months,Short Grain (Samba),White,No,Yes,24.393424657534247,86.68493150684931,0.442345205479452
Matale,Intermediate Zone,Bg 352,2023,Annual,8561,3.5 Months,Long Grain (Nadu),White,No,No,24.752328767123288,84.91506849315068,0.38807123287671236
Matale,Intermediate Zone,Bg 374,2023,Annual,6437,3.5 Months,Long Grain (Nadu),White,No,No,24.752328767123288,84.91506849315068,0.38807123287671236
Matale,Intermediate Zone,Bw 367,2023,Annual,3399,3.5 Months,Short Grain (Samba),White,No,Yes,24.752328767123288,84.91506849315068,0.38807123287671236
